commit	timestamp	description	ssim_avg	psnr_avg	video_bytes_ratio_avg	composite_score	status
21be685	2026-04-05T09:50:12.573282+00:00	baseline: lt steeper high-frequency matrices	0.974812	39.9647	0.963846	0.938709	baseline
21be685	2026-04-05T09:50:46.823753+00:00	loop1 discard: reduce lt br_tab to [700,545,475,425]	0.974764	39.9411	0.959658	0.938266	discard
21be685	2026-04-05T09:51:21.762097+00:00	loop2 keep: raise standard br_tab to [1070,824,724,645]	0.974832	39.9708	0.966347	0.939343	keep
21be685	2026-04-05T09:51:56.757209+00:00	loop3 keep: raise hq br_tab to [1600,1245,1095,972]	0.974842	39.9722	0.968729	0.939661	keep
21be685	2026-04-05T09:52:40.842095+00:00	loop4 keep: raise hq br_tab to [1625,1265,1112,988]	0.974849	39.9732	0.970450	0.939894	keep
21be685	2026-04-05T09:53:17.466620+00:00	loop5 keep: raise standard br_tab to [1085,836,735,655]	0.974863	39.9837	0.972174	0.940404	keep
21be685	2026-04-05T09:54:29.202126+00:00	reconcile keep: reapply lt steeper matrices on top of kept standard/hq br_tab	0.974863	39.9893	0.971890	0.940436	keep
7237fdb	2026-04-05T09:58:23.924202+00:00	checkpoint keep: commit reconciled tuned lt matrix plus standard/hq br_tab	0.974863	39.9893	0.971890	0.940436	keep
8a5c11e	2026-04-05T10:04:03.043901+00:00	loop6 keep: raise standard br_tab to [1100,848,745,665]	0.974875	39.9975	0.973546	0.940898	keep
4cd05c1	2026-04-05T10:07:32.145301+00:00	loop7 keep: soften standard luma/chroma high-frequency tail	0.974875	39.9971	0.973578	0.940902	keep
0e39936	2026-04-05T10:08:14.126069+00:00	loop8 keep: further soften standard luma/chroma mid-high frequencies	0.974875	39.9978	0.973611	0.940903	keep
e559c1d	2026-04-05T10:08:55.692698+00:00	loop9 keep: soften standard upper-high-frequency luma/chroma entries	0.974874	39.9981	0.973704	0.940934	keep
2080b41	2026-04-05T10:09:38.661424+00:00	loop10 keep: soften hq luma/chroma high-frequency tail	0.974873	40.0038	0.973815	0.940967	keep
069561c	2026-04-05T10:10:16.372591+00:00	loop11 keep: flatten more hq upper-high-frequency luma/chroma entries	0.974872	40.0060	0.974089	0.941023	keep
560708f	2026-04-05T10:10:56.994122+00:00	loop12 keep: further flatten hq luma/chroma tail entries	0.974868	40.0088	0.974627	0.941141	keep
988cebb	2026-04-05T10:11:35.067466+00:00	loop13 keep: flatten remaining hq lower-right luma/chroma 5s	0.974867	40.0102	0.974770	0.941179	keep
8ce49e4	2026-04-05T10:12:20.687370+00:00	loop14 keep: raise hq br_tab to [1650,1285,1130,1005]	0.974874	40.0112	0.976594	0.941419	keep
598b680	2026-04-05T10:13:00.844959+00:00	loop15 keep: raise hq br_tab to [1675,1305,1148,1022]	0.974880	40.0121	0.978321	0.941650	keep
592b0b5	2026-04-05T10:13:40.645040+00:00	loop16 keep: raise hq br_tab to [1700,1325,1165,1038]	0.974886	40.0129	0.979995	0.941878	keep
4dd8c8b	2026-04-05T10:14:18.421548+00:00	loop17 keep: raise hq br_tab to [1725,1345,1182,1054]	0.974892	40.0138	0.981611	0.942104	keep
e9b9ee5	2026-04-05T10:15:00.229916+00:00	loop18 keep: raise hq br_tab to [1750,1365,1200,1070]	0.974897	40.0145	0.983151	0.942326	keep
add0971	2026-04-05T10:15:35.587912+00:00	loop19 keep: raise hq br_tab to [1775,1385,1218,1086]	0.974903	40.0153	0.984659	0.942342	keep
72a5eef	2026-04-05T10:16:18.703137+00:00	loop20 keep: raise hq br_tab to [1800,1405,1236,1102]	0.974907	40.0159	0.986147	0.942380	keep
4383d4c	2026-04-05T10:16:56.749655+00:00	loop21 keep: raise hq br_tab to [1825,1425,1254,1118]	0.974912	40.0166	0.987580	0.942413	keep
63c7110	2026-04-05T10:17:34.363001+00:00	loop22 keep: raise hq br_tab to [1850,1445,1272,1134]	0.974917	40.0173	0.988980	0.942459	keep
243caa7	2026-04-05T10:18:12.773943+00:00	loop23 keep: raise hq br_tab to [1875,1465,1290,1150]	0.974921	40.0179	0.990265	0.942493	keep
243caa7	2026-04-05T10:18:57.997174+00:00	loop24 discard: raise hq br_tab to [1900,1485,1308,1166]	0.974925	40.0184	0.991497	0.942367	discard
75e17e4	2026-04-05T10:19:39.661362+00:00	loop25 keep: raise standard br_tab to [1115,860,755,675]	0.974934	40.0215	0.991833	0.942826	keep
04313fb	2026-04-05T10:20:20.341358+00:00	loop26 keep: raise standard br_tab to [1130,872,765,685]	0.974944	40.0332	0.993530	0.943020	keep
ba39d1e	2026-04-05T10:25:49.769121+00:00	loop27 keep: raise standard br_tab to [1145,884,775,695]	0.974953	40.0380	0.995075	0.943200	keep
923f55f	2026-04-05T10:27:16.421983+00:00	loop28 keep: raise standard br_tab to [1160,896,785,705]	0.974962	40.0396	0.996640	0.943423	keep
7fbb5ce	2026-04-05T10:27:42.116018+00:00	loop29 keep: raise standard br_tab to [1175,908,795,715]	0.974973	40.0410	0.998166	0.943627	keep
d800b94	2026-04-05T10:28:07.859918+00:00	loop30 keep: raise standard br_tab to [1190,920,805,725]	0.974983	40.0425	0.999677	0.943835	keep
aacb17e	2026-04-05T10:28:33.763807+00:00	loop31 keep: raise standard br_tab to [1205,932,815,735]	0.974993	40.0439	1.001181	0.944043	keep
e579d4a	2026-04-05T10:28:59.487604+00:00	loop32 keep: raise standard br_tab to [1220,944,825,745]	0.975003	40.0453	1.002663	0.944245	keep
042a409	2026-04-05T10:29:25.380451+00:00	loop33 keep: raise standard br_tab to [1235,956,835,755]	0.975010	40.0465	1.004088	0.944436	keep
655b895	2026-04-05T10:29:50.846001+00:00	loop34 keep: raise standard br_tab to [1250,968,845,765]	0.975017	40.0477	1.005520	0.944630	keep
e103d97	2026-04-05T10:30:16.200437+00:00	loop35 keep: raise standard br_tab to [1265,980,855,775]	0.975025	40.0489	1.006903	0.944821	keep
783f83a	2026-04-05T10:30:41.495654+00:00	loop36 keep: raise standard br_tab to [1280,992,865,785]	0.975033	40.0501	1.008288	0.944911	keep
b275204	2026-04-05T10:31:06.981407+00:00	loop37 keep: raise standard br_tab to [1295,1004,875,795]	0.975039	40.0512	1.009594	0.944945	keep
0e4b434	2026-04-05T10:31:32.187054+00:00	loop38 keep: raise standard br_tab to [1310,1016,885,805]	0.975046	40.0522	1.010949	0.944974	keep
0e4b434	2026-04-05T10:31:58.073741+00:00	loop39 discard: raise standard br_tab to [1325,1028,895,815]	0.975053	40.0533	1.012225	0.944964	discard
de50b81	2026-04-05T10:32:23.047812+00:00	loop40 keep: raise standard br_tab to [1318,1022,890,810]	0.975050	40.0528	1.011588	0.944987	keep
de50b81	2026-04-05T10:32:48.497322+00:00	loop41 discard: raise standard br_tab to [1333,1034,900,820]	0.975056	40.0538	1.012855	0.944890	discard
de50b81	2026-04-05T10:33:13.930168+00:00	loop42 discard: raise standard br_tab to [1326,1028,895,815]	0.975053	40.0533	1.012225	0.944964	discard
79de2e5	2026-04-05T10:33:39.362063+00:00	loop43 keep: raise standard br_tab to [1322,1025,892,812]	0.975051	40.0530	1.011837	0.944995	keep
79de2e5	2026-04-05T10:34:04.559950+00:00	loop44 discard: raise standard br_tab to [1330,1031,897,817]	0.975055	40.0535	1.012468	0.944934	discard
79de2e5	2026-04-05T10:34:29.908404+00:00	loop45 discard: raise standard br_tab to [1326,1028,894,814]	0.975052	40.0532	1.012098	0.944982	discard
9cb8fc6	2026-04-05T10:34:55.357992+00:00	loop46 keep: raise standard br_tab to [1324,1027,893,813]	0.975052	40.0531	1.011969	0.944995	keep
9cb8fc6	2026-04-05T10:35:20.723554+00:00	loop47 discard: raise standard br_tab to [1328,1030,895,815]	0.975053	40.0533	1.012225	0.944964	discard
9cb8fc6	2026-04-05T10:35:46.039063+00:00	loop48 discard: raise standard br_tab to [1326,1029,894,814]	0.975052	40.0532	1.012098	0.944982	discard
f3d7ca1	2026-04-05T10:36:11.578475+00:00	loop49 keep: raise standard max_quant to 7	0.975060	40.0537	1.012051	0.945005	keep
21b26e3	2026-04-05T10:36:37.397060+00:00	loop50 keep: raise standard max_quant to 8	0.975067	40.0541	1.011690	0.945016	keep
21b26e3	2026-04-05T10:43:45.538228+00:00	loop51 discard: raise standard min_quant to 2	0.975065	39.8351	0.959884	0.939193	discard
cbe7f7f	2026-04-05T10:44:32.361908+00:00	loop52 keep: raise standard max_quant to 9	0.975092	40.0531	1.012109	0.945176	keep
7190eb8	2026-04-05T10:45:33.231336+00:00	loop53 keep: raise proxy br_tab to [320,258,234,206]	0.975206	40.0782	1.018037	0.946049	keep
1b09b39	2026-04-05T10:46:17.612171+00:00	loop54 keep: raise proxy br_tab to [340,274,248,218]	0.975308	40.1031	1.023495	0.946912	keep
1aafe50	2026-04-05T10:47:27.015672+00:00	loop55 keep: soften proxy luma high-frequency tail	0.975247	40.0823	1.023640	0.946995	keep
3785ee1	2026-04-05T10:48:31.018950+00:00	loop56 keep: rebalance lt luma matrix toward low-freq restraint and softer tail	0.975292	40.0843	1.018130	0.947278	keep
3785ee1	2026-04-05T10:49:23.044894+00:00	loop57 discard: match lt chroma matrix to the rebalanced luma matrix	0.975292	40.0843	1.018130	0.947278	discard
3785ee1	2026-04-05T10:50:19.998446+00:00	loop58 discard: further soften proxy luma high-frequency tail	0.975285	40.0860	1.018447	0.947225	discard
3785ee1	2026-04-05T10:51:07.645855+00:00	loop59 discard: raise hq PRORES_MB_LIMITS to 9728	0.975292	40.0843	1.018130	0.947278	discard
9d928a9	2026-04-05T10:51:47.661981+00:00	loop60 keep: raise hq max_quant to 7	0.975295	40.0845	1.018160	0.947289	keep
e75cea9	2026-04-05T10:52:56.904395+00:00	loop61 keep: rebalance standard luma matrix toward low-freq restraint and softer tail	0.975301	40.0927	1.011676	0.948244	keep
e75cea9	2026-04-05T10:53:53.188153+00:00	loop62 discard: match standard chroma matrix to the rebalanced luma matrix	0.975301	40.0927	1.011676	0.948244	discard
e75cea9	2026-04-05T10:54:57.052164+00:00	loop63 discard: raise hq max_quant to 8	0.975304	40.0928	1.011352	0.948150	discard
e75cea9	2026-04-05T10:55:41.245699+00:00	loop64 discard: further rebalance lt luma matrix toward low-freq restraint and softer tail	0.975316	40.1038	1.009066	0.948138	discard
a8e095c	2026-04-05T10:56:35.583227+00:00	loop65 keep: further rebalance standard luma matrix top-left and far tail	0.975303	40.0947	1.009042	0.948372	keep
1a3ae94	2026-04-05T10:57:32.701544+00:00	loop66 keep: further firm standard luma low-frequency corner	0.975305	40.0465	1.003929	0.948566	keep
1a3ae94	2026-04-05T10:58:23.712948+00:00	loop67 discard: raise standard PRORES_MB_LIMITS to 6300	0.975305	40.0465	1.003929	0.948566	discard
1a3ae94	2026-04-05T10:59:06.701743+00:00	loop68 discard: extend firmer standard luma weighting into the next low-frequency band	0.975308	40.0362	1.002695	0.948540	discard
1a3ae94	2026-04-05T11:00:10.966369+00:00	loop69 discard: further firm lt luma low-frequency corner	0.975320	40.0559	1.000912	0.948552	discard
aeaf468	2026-04-05T11:00:58.087318+00:00	loop70 keep: firm proxy luma low-frequency corner	0.975294	40.0492	1.000523	0.948799	keep
6a12d77	2026-04-05T11:01:41.819834+00:00	loop71 keep: raise proxy br_tab to [350,282,255,224]	0.975335	40.0591	1.002990	0.949275	keep
eb1b168	2026-04-05T11:02:40.742980+00:00	loop72 keep: further firm proxy luma top-left corner	0.975332	40.0546	1.000816	0.949416	keep
0b9ed33	2026-04-05T11:03:31.302422+00:00	loop73 keep: raise proxy br_tab to [360,290,262,230]	0.975367	40.0571	1.003205	0.949901	keep
2b6d901	2026-04-05T11:04:14.585108+00:00	loop74 keep: raise proxy br_tab to [368,296,268,235]	0.975393	40.0583	1.005112	0.950317	keep
2b6d901	2026-04-05T11:06:44.135386+00:00	loop75 discard: lower proxy min_quant to 3	0.975324	40.0430	1.024612	0.948380	discard
c98f5ce	2026-04-05T11:07:21.734545+00:00	loop76 keep: raise proxy br_tab to [374,301,272,239]	0.975420	40.0657	1.006602	0.950669	keep
68b8dfb	2026-04-05T11:08:19.486356+00:00	loop77 keep: firm lt luma corner and raise lt br_tab slightly	0.975452	40.0818	1.005293	0.950873	keep
68b8dfb	2026-04-05T11:09:16.041367+00:00	loop78 discard: firm lt chroma low-frequency corner	0.975452	40.0818	1.005293	0.950873	discard
68b8dfb	2026-04-05T11:10:02.901272+00:00	loop79 discard: firm standard chroma low-frequency corner	0.975452	40.0818	1.005293	0.950873	discard
68b8dfb	2026-04-05T11:10:51.853998+00:00	loop80 discard: firm hq luma low-frequency corner	0.975455	39.9883	0.998185	0.950490	discard
561b420	2026-04-05T11:11:35.112660+00:00	loop81 keep: raise proxy br_tab to [378,304,275,242]	0.975470	40.0888	1.006411	0.950968	keep
163783e	2026-04-05T11:12:27.601724+00:00	loop82 keep: extend standard luma restraint one band and raise standard br_tab slightly	0.975475	40.0789	1.005706	0.951046	keep
fa5a609	2026-04-05T11:13:15.106166+00:00	loop83 keep: raise standard br_tab to [1338,1038,902,822]	0.975477	40.0792	1.006138	0.951136	keep
1510181	2026-04-05T11:13:55.740746+00:00	loop84 keep: raise standard br_tab to [1344,1043,906,826]	0.975479	40.0795	1.006554	0.951226	keep
460aeba	2026-04-05T11:14:49.809373+00:00	loop85 keep: raise standard br_tab to [1350,1048,910,830]	0.975481	40.0799	1.006993	0.951311	keep
1c1f459	2026-04-05T11:15:32.601347+00:00	loop86 keep: raise standard br_tab to [1356,1053,914,834]	0.975483	40.0802	1.007396	0.951401	keep
b633627	2026-04-05T11:16:10.505284+00:00	loop87 keep: raise standard br_tab to [1362,1058,918,838]	0.975484	40.0805	1.007793	0.951479	keep
f5201d6	2026-04-05T11:16:53.295392+00:00	loop88 keep: raise standard br_tab to [1368,1063,922,842]	0.975486	40.0808	1.008184	0.951555	keep
0776571	2026-04-05T11:17:33.865213+00:00	loop89 keep: raise standard br_tab to [1374,1068,926,846]	0.975488	40.0811	1.008603	0.951648	keep
66a64b0	2026-04-05T11:18:13.159458+00:00	loop90 keep: raise standard br_tab to [1380,1073,930,850]	0.975490	40.0814	1.009025	0.951736	keep
6c52fd3	2026-04-05T11:19:02.203994+00:00	loop91 keep: raise standard br_tab to [1386,1078,934,854]	0.975491	40.0817	1.009447	0.951822	keep
ccd9e89	2026-04-05T11:19:41.335079+00:00	loop92 keep: raise standard br_tab to [1392,1083,938,858]	0.975492	40.0820	1.009846	0.951903	keep
486838f	2026-04-05T11:20:24.953049+00:00	loop93 keep: raise standard br_tab to [1398,1088,942,862]	0.975494	40.0822	1.010234	0.951982	keep
10b8ff9	2026-04-05T11:21:03.688472+00:00	loop94 keep: raise standard br_tab to [1404,1093,946,866]	0.975495	40.0825	1.010617	0.952055	keep
50c4186	2026-04-05T11:21:43.372826+00:00	loop95 keep: raise standard br_tab to [1410,1098,950,870]	0.975497	40.0828	1.011021	0.952138	keep
138d7a7	2026-04-05T11:22:26.846289+00:00	loop96 keep: raise standard br_tab to [1416,1103,954,874]	0.975498	40.0830	1.011452	0.952233	keep
533afc0	2026-04-05T11:23:15.751736+00:00	loop97 keep: raise standard br_tab to [1422,1108,958,878]	0.975499	40.0833	1.011834	0.952315	keep
048b7ed	2026-04-05T11:23:53.275494+00:00	loop98 keep: raise standard br_tab to [1428,1113,962,882]	0.975500	40.0836	1.012217	0.952390	keep
20878f2	2026-04-05T11:24:30.351993+00:00	loop99 keep: raise standard br_tab to [1434,1118,966,886]	0.975502	40.0838	1.012579	0.952465	keep
677b26d	2026-04-05T11:25:10.181452+00:00	loop100 keep: raise standard br_tab to [1440,1123,970,890]	0.975503	40.0840	1.012952	0.952522	keep
677b26d	2026-04-05T11:32:05.103565+00:00	loop101 discard: raise standard br_tab to [1452,1133,978,898]	0.975505	40.0845	1.013673	0.952488	discard
a80aeb4	2026-04-05T11:32:43.681297+00:00	loop102 keep: raise standard br_tab to [1446,1128,974,894]	0.975504	40.0843	1.013318	0.952541	keep
