commit	timestamp	description	score_version	development_score	holdout_score	overall_score	development_ssim_avg	development_video_bytes_ratio_avg	holdout_ssim_avg	holdout_video_bytes_ratio_avg	changed_files	status
007546b	2026-04-05T14:04:14.607632+00:00	baseline_phase2_v1_from_incumbent_114d26b	phase2_v1	0.958177	0.895194	0.945580	0.974432	1.019007	0.994259	1.415281	.gitignore,README.md,append_results.py,build.py,discard_experiment.py,evaluate.py,ffmpeg_overrides/libavcodec/proresdata.c,ffmpeg_overrides/libavcodec/proresenc_kostya.c,ffmpeg_overrides/libavcodec/proresenc_kostya_common.c,ffmpeg_overrides/libavcodec/proresenc_kostya_common.h,keep_experiment.py,meta/source_notes.md,patch_bases/proresdata.c.orig,patch_bases/proresenc_kostya_common.h.orig,phase2_policy.py,prepare.py,program.md,projectlib.py	baseline
007546b	2026-04-05T14:10:54.725946+00:00	rate_penalty_bits_128_patch_target_conflict	phase2_v1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	ffmpeg_overrides/libavcodec/proresenc_kostya.c	crash
007546b	2026-04-05T14:12:12.882095+00:00	trellis_rate_penalty_bits_128_too_small_to_keep	phase2_v1	0.958177	0.895197	0.945581	0.974432	1.019005	0.994259	1.415268	ffmpeg_overrides/libavcodec/proresenc_kostya.c	discard
377ca71	2026-04-05T14:13:16.679436+00:00	trellis_rate_penalty_bits_64	phase2_v1	0.958179	0.895199	0.945583	0.974432	1.018996	0.994259	1.415260	ffmpeg_overrides/libavcodec/proresenc_kostya.c	keep
377ca71	2026-04-05T14:14:13.232190+00:00	trellis_rate_penalty_bits_48_too_small	phase2_v1	0.958179	0.895200	0.945583	0.974432	1.018994	0.994259	1.415257	ffmpeg_overrides/libavcodec/proresenc_kostya.c	discard
377ca71	2026-04-05T14:15:08.864619+00:00	trellis_rate_penalty_bits_32_too_small	phase2_v1	0.958180	0.895202	0.945584	0.974432	1.018988	0.994259	1.415245	ffmpeg_overrides/libavcodec/proresenc_kostya.c	discard
377ca71	2026-04-05T14:16:06.634630+00:00	trellis_quant_jump_penalty_4	phase2_v1	0.958110	0.895200	0.945528	0.974411	1.019526	0.994259	1.415258	ffmpeg_overrides/libavcodec/proresenc_kostya.c	discard
377ca71	2026-04-05T14:16:56.782842+00:00	luma_error_weight_95	phase2_v1	0.958158	0.895201	0.945566	0.974411	1.018995	0.994259	1.415252	encoder_params.py	discard
377ca71	2026-04-05T14:17:50.542752+00:00	chroma_error_weight_110	phase2_v1	0.958174	0.895195	0.945578	0.974432	1.019011	0.994259	1.415279	encoder_params.py	discard
377ca71	2026-04-05T14:18:42.028956+00:00	lt_br_tab_minus_2p5pct	phase2_v1	0.957769	0.896559	0.945527	0.974417	1.016847	0.994243	1.408208	encoder_params.py	discard
